epoch,accuracy,loss,val_accuracy,val_loss
0,0.29008325934410095,1.7326945066452026,0.34940093755722046,1.6541752815246582
1,0.38844960927963257,1.5514273643493652,0.43605461716651917,1.444329857826233
2,0.43477654457092285,1.4495248794555664,0.46168848872184753,1.3545746803283691
3,0.4615625739097595,1.390436053276062,0.4878796339035034,1.3270739316940308
4,0.4783865809440613,1.3471465110778809,0.5071050524711609,1.281577467918396
5,0.49165767431259155,1.3167563676834106,0.514906644821167,1.2671287059783936
6,0.4993904232978821,1.295262098312378,0.5062691569328308,1.2827802896499634
7,0.5062175393104553,1.2737549543380737,0.5296739935874939,1.2378065586090088
8,0.5153087973594666,1.2572554349899292,0.5243800282478333,1.2372511625289917
9,0.518757164478302,1.2426539659500122,0.5190861225128174,1.2437312602996826
10,0.5328642725944519,1.2225130796432495,0.5436054468154907,1.20652174949646
11,0.5333170890808105,1.2199277877807617,0.5282808542251587,1.210669994354248
12,0.5358598232269287,1.1986361742019653,0.5483421683311462,1.1909204721450806
13,0.5444982647895813,1.1932774782180786,0.5488994121551514,1.190925121307373
14,0.5499669313430786,1.179322361946106,0.5271663665771484,1.2395676374435425
15,0.5500365495681763,1.1711483001708984,0.5511284470558167,1.1956604719161987
16,0.5540074706077576,1.1632277965545654,0.5422123074531555,1.2059797048568726
17,0.5575951933860779,1.1559821367263794,0.5419337153434753,1.2238099575042725
18,0.5607649087905884,1.1438912153244019,0.5475062727928162,1.1981481313705444
19,0.5676965117454529,1.139404296875,0.5405405163764954,1.196470022201538
20,0.5673830509185791,1.1282806396484375,0.5371969938278198,1.226845383644104
21,0.5658852458000183,1.126841425895691,0.5472276210784912,1.1984753608703613
22,0.5713887810707092,1.1184407472610474,0.5424909591674805,1.2100120782852173
23,0.5766484141349792,1.10940682888031,0.553078830242157,1.1858773231506348
24,0.5763001441955566,1.1026421785354614,0.5502925515174866,1.2094457149505615
25,0.5844508409500122,1.0948268175125122,0.5533574819564819,1.1905807256698608
26,0.5822216272354126,1.0943318605422974,0.5477849245071411,1.203954815864563
27,0.5813159346580505,1.098849892616272,0.5539147257804871,1.1979186534881592
28,0.588909387588501,1.0791977643966675,0.5533574819564819,1.204811930656433
29,0.5927757620811462,1.0663161277770996,0.5603232383728027,1.1776405572891235
